,syntyneisyys,kuolleisuus,avioituneisuus
1815,37.2,27.6,7.1
1816,31.7,23,6.6
1817,33.7,21.9,6.8
1818,31,33,7.5
1819,37.3,26.2,7.7
1820,34.9,27.9,10.4
1821,42,27.1,9.1
1822,37.6,30.1,7.2
1823,40.4,27.6,7.5
1824,34.7,36,7.7
1825,37.8,27.2,7.2
1826,35.1,30.6,7.4
1827,33.8,26.2,8.5
1828,37.5,25.7,10.6
1829,38.8,30.9,8.7
1830,36.8,24.5,8.1
1831,34.1,27.1,5.1
1832,34,34.7,6.3
1833,29.8,43.7,7.6
1834,35.1,26,6.9
1835,30,33.1,5.5
1836,26.8,36.5,6.6
1837,30.1,33.4,9.1
1838,33.6,26.8,9.2
1839,34.1,23.7,8.5
1840,33.3,25.3,7.6
1841,33.4,22.8,8.2
1842,37.2,23.6,8.4
1843,29.3,19.9,6.2
1844,28.5,20.6,7.4
1845,31.1,20,6.1
1846,24.8,29,5.9
1847,26.8,23.9,7.1
1848,33.9,27.3,10.1
1849,36.8,26.1,8.9
1850,36.1,27.3,8.4
1851,35.9,25.2,8.4
1852,30,32.3,7.4
1853,29.8,28.6,7.4
1854,35.7,33.6,7.5
1855,32.5,45.5,8
1856,34.9,36.8,9.1
1857,30.5,26.5,7.6
1858,33.5,32.7,7.4
1859,31.7,30.4,8.5
1860,36.1,29.4,10.4
1861,33.2,25.7,9.1
1862,35.9,28.3,7.6
1863,36.3,27.8,5.5
1864,39.1,24.2,5.9
1865,32.5,25.8,8.1
1866,33.5,31.4,6.3
1867,31.3,25.2,7.4
1868,26.8,50.1,5.5
1869,25.5,36.1,9
1870,34.3,21.3,9.1
1871,35.2,19.7,8.4
1872,32.9,23.8,7.9
1873,33.5,26.9,8
1874,33.8,23.7,7.8
1875,33.5,27.2,8.1
1876,32.9,28.4,7.4
1877,33.8,25,7.3
1878,32,26.7,7.4
1879,35.3,23.7,7.9
1880,34.8,24.6,7.8
1881,33.2,30.5,6.7
1882,34.7,24.1,8.3
1883,33.1,23.1,8.4
1884,35.7,25.4,8
1885,33.1,25.2,7.2
1886,32.5,22.4,7.8
1887,34,22,8.6
1888,35.2,22.8,8.6
1889,34.2,24.5,7.9
1890,33.1,21.6,8.4
1891,31.4,22.9,7.8
1892,32,23.7,6.7
1893,30.7,23,6.2
1894,32,21.5,7.6
1895,33.1,20.6,8.4
1896,33,19.8,8.6
1897,32.7,19.3,8.8
1898,35.8,19.2,9.2
1899,35.3,19.5,8.3
1900,34.7,21.4,7.8
1901,34.8,21.2,7.5
1902,34.4,20.8,7.1
1903,34,18.7,7.4
1904,34.9,19.6,7.3
1905,33.7,20.9,7.4
1906,34.5,20.3,8.1
1907,35.3,19.2,8.3
1908,34.3,19.8,7.6
1909,34.4,17.4,6.9
1910,32,18.5,6.7
1911,31.4,17.2,6.4
1912,30.8,16.8,6.5
1913,28.7,16.2,6.6
1914,28.7,15.8,6.3
1915,26.7,16,5.7
1916,25.2,17.7,6.3
1917,25.5,18.7,6.6
