kaupunginosa,1890,1900,1910,1920,1930
Linnoitus,2618,4970,4518,4772,4519
Siikaniemi,973,745,183,186,315
Salakkalahti,576,608,720,915,762
Repola,1001,2559,5104,5659,5786
Pantsarlahti,2121,2784,3643,3863,4017
Anina,1278,2130,4156,4560,4391
Papula,652,1564,2468,2789,3847
Saunalahti,303,145,188,212,211
Saunalahti_mlk,,387,421,680,810
Neitsytniemi,1267,1991,1255,1562,1640
Pietarin esikaupunki,3551,2549,,,
Sorvali,241,1923,2633,3045,3496
Havi,135,186,186,182,270
Talikkala,569,9573,4811,4287,5106
Kolikkoinmäki,1103,,6508,5925,6276
Hiekka,348,199,430,1979,129
Likolampi,172,276,340,918,1423
Pikiruukki,,181,190,489,1076
Karjala,,,1424,1487,1857
Kangasranta,,,2033,2510,2733
Pyöräsuo,,,1380,341,741
Kelkkala,,,2218,3149,5648
Saaret,,,2093,2668,
